Title,Price,Image,Rating
"How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2)","$9.20","https://m.media-amazon.com/images/I/71NXutgDdqL._AC_UL320_.jpg","4.5 out of 5 stars"
"Strange Planet (Strange Planet Series)","$9.13","https://m.media-amazon.com/images/I/61zb65rJ5OL._AC_UL320_.jpg","4.9 out of 5 stars"
"The Crazy Rich Asians Trilogy Box Set","$26.08","https://m.media-amazon.com/images/I/71J7iytinKL._AC_UL320_.jpg","4.8 out of 5 stars"
"Eyelike Stickers: Ocean","$6.46","https://m.media-amazon.com/images/I/81D4lrA18rL._AC_UL320_.jpg","4.6 out of 5 stars"
"Eyelike Stickers: Animals","$6.46","https://m.media-amazon.com/images/I/8193sD7V66L._AC_UL320_.jpg","4.7 out of 5 stars"
"Delkin Devices BLACK CFexpress Type B Memory Card, up to 1725MB/s Read, 1530MB/s Write, for Professional Video and Photography (150GB)","$159.99","https://m.media-amazon.com/images/I/61poxK6cfTL._AC_UL320_.jpg","4.8 out of 5 stars"
"Let Your Light Shine Matthew 5:16, Inspirational Scripture Cards to Keep or Share (Boxes of Blessings)","$4.64","https://m.media-amazon.com/images/I/71wG3exgnIL._AC_UL320_.jpg","4.8 out of 5 stars"
"The Legend of Zelda: Tears of the Kingdom - The Complete Official Guide: Standard Edition","$45.70","https://m.media-amazon.com/images/I/81RN9IkVgGL._AC_UL320_.jpg","4.6 out of 5 stars"
"2022 Codex Aeldari 9th Edition Book Warhammer 40K","$24.48","https://m.media-amazon.com/images/I/61Aa-v6ZqML._AC_UL320_.jpg","4.7 out of 5 stars"
"Pai Rico Pai Pobre - Edicao De 20 Anos Atualizada E Ampliada (Em Portugues do Brasil)","$27.48","https://m.media-amazon.com/images/I/81ALgAW3gHL._AC_UL320_.jpg","4.9 out of 5 stars"
"The Art of God of War Ragnarök (Deluxe Edition)","$67.23","https://m.media-amazon.com/images/I/71ZkNnUHZNL._AC_UL320_.jpg","4.9 out of 5 stars"
"Drive: The Surprising Truth About What Motivates Us","$0.00","https://m.media-amazon.com/images/I/81+l6ovogNL._AC_UL320_.jpg","4.5 out of 5 stars"
"Mis Promesas Diarias- Contiene 100 Tarjetas con Pasajes Bíblicos Para Mejorar la Espiritualidad e Inspiración (en Español)","$21.95","https://m.media-amazon.com/images/I/7189E1azHDL._AC_UL320_.jpg","4.7 out of 5 stars"
"『ディズニー ツイステッドワンダーランド』公式ガイド＋設定資料集　Magical Archives","$28.70","https://m.media-amazon.com/images/I/61Rn+sPjtOL._AC_UL320_.jpg","4.7 out of 5 stars"
"The Standard Pilot Logbook (Pink) (Standard Pilot Logbooks)","$14.95","https://m.media-amazon.com/images/I/81QK-wQXW0L._AC_UL320_.jpg","4.7 out of 5 stars"
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","$0.00","https://m.media-amazon.com/images/I/818D0oqaBML._AC_UL320_.jpg","4.8 out of 5 stars"
"OTOMO THE COMPLETE WORKS 21: ANIMATION AKIRA STORYBOARDS 1(ARTBOOK VO JAPONAIS)","$49.99","https://m.media-amazon.com/images/I/81550DuaFGL._AC_UL320_.jpg","4.7 out of 5 stars"
"Mouse Count","$6.99","https://m.media-amazon.com/images/I/71enO1aINCL._AC_UL320_.jpg","4.8 out of 5 stars"
"Led Zeppelin -- Bass TAB Anthology: Authentic Bass TAB (Authentic Bass Tab Editions)","$19.26","https://m.media-amazon.com/images/I/81S8YH1ZZ-L._AC_UL320_.jpg","4.7 out of 5 stars"
"The School for Good and Evil: The School for Good and Evil, Book 1","$0.00","https://m.media-amazon.com/images/I/81sJyxMCgyL._AC_UL320_.jpg","4.5 out of 5 stars"
"The Ultimate Question 2.0 (Revised and Expanded Edition): How Net Promoter Companies Thrive in a Customer-Driven World","$17.76","https://m.media-amazon.com/images/I/815D6bAiC5L._AC_UL320_.jpg","4.5 out of 5 stars"
"Writing with Style: Conversations on the Art of Writing","$63.99","https://m.media-amazon.com/images/I/81G3sZx60IL._AC_UL320_.jpg","4.5 out of 5 stars"
"Cartas de amor a los muertos/ Love letters to the dead (Spanish Edition)","$12.99","https://m.media-amazon.com/images/I/81Te73aNYbL._AC_UL320_.jpg","4.7 out of 5 stars"
"Biblia NVI. Leitura Perfeita - Capa Cerejeira. Letra Normal. (Em Portugues do Brasil)","$26.02","https://m.media-amazon.com/images/I/915NwZVusEL._AC_UL320_.jpg","4.9 out of 5 stars"
"The School Of Life - Meeting Friends - 52 Conversation Cards to Kindle Connection","$18.60","https://m.media-amazon.com/images/I/71luAKR0NyL._AC_UL320_.jpg","5.0 out of 5 stars"
"Cat High: The Yearbook","$14.98","https://m.media-amazon.com/images/I/91k-wcJj0eL._AC_UL320_.jpg","4.8 out of 5 stars"
"Harry Potter and the Chamber of Secrets, Book 2","$0.00","https://m.media-amazon.com/images/I/91u+AfDBxlL._AC_UL320_.jpg","4.8 out of 5 stars"
"The Rug Hooker's Bible: The Best From 30 Years Of Jane Olson's Rugger's Roundtable","$36.95","https://m.media-amazon.com/images/I/31YfC8f+VbL._AC_UL320_.jpg","4.8 out of 5 stars"
"Ink Exchange","$0.00","https://m.media-amazon.com/images/I/81i0bVt-pgL._AC_UL320_.jpg","4.4 out of 5 stars"
"Spells to Raise Hell Cards: 50 Spells and Rituals to Reveal Your Inner Power","$15.32","https://m.media-amazon.com/images/I/71VVdq8YohL._AC_UL320_.jpg","3.3 out of 5 stars"
"Start Something That Matters","$0.00","https://m.media-amazon.com/images/I/91ho+dZiWgL._AC_UL320_.jpg","4.6 out of 5 stars"
"Mastering KVM Virtualization: Design expert data center virtualization solutions with the power of Linux KVM, 2nd Edition","$31.19","https://m.media-amazon.com/images/I/81huCGmGHFL._AC_UL320_.jpg","4.2 out of 5 stars"
